timestamp_ms,equity
1673395200000,400.0
1673518620000,396.5852
1673552880000,398.5671
1673668800000,402.7374
1675302600000,404.7706
1676457060000,405.3651
1676493120000,408.713
1676500200000,412.0589
1676512860000,415.4068
1677609480000,416.0053
1678145940000,417.2074
1678199820000,417.8097
1678291080000,418.407
1678683900000,421.9205
1678716480000,424.0251
1678718940000,425.2618
1678720020000,427.3698
1679108400000,429.928
1679238300000,431.4
1679432460000,437.3324
1679439840000,439.5564
1679486580000,435.7279
1679929200000,431.8083
1680116460000,434.0361
1680197520000,430.1839
1680247320000,426.3557
1680296040000,427.8563
1680442920000,428.4825
1680541740000,424.6942
1680606420000,426.1526
1680654240000,427.6115
1681168200000,429.0649
1681376520000,431.2595
1681390980000,431.8895
1681390980000,433.3527
1681432560000,433.9797
1681452060000,435.4426
1682538420000,431.5833
1682539260000,427.7017
1682539320000,423.8383
1682598600000,425.1153
1682708820000,425.7545
1682867880000,427.1742
1682900700000,427.8107
1682900700000,429.2297
1683165660000,430.5359
1683250320000,431.1903
1683295320000,432.6292
1683303600000,433.2849
1683360060000,429.5917
1683825420000,425.8777
1684222500000,427.2773
1685311320000,429.3874
1685603760000,425.7307
1685980680000,422.1004
1686646020000,423.4421
1686982560000,424.8062
1687058100000,426.8671
1687187580000,423.3314
1687283160000,424.6969
1687291260000,425.3881
1687301700000,427.4014
1687309440000,428.7904
1687323420000,430.1727
1687398000000,433.6644
1687420020000,435.7581
1687532700000,437.1896
1687741260000,433.449
1687813740000,429.7874
1689228180000,431.1804
1689263040000,432.5749
1689267780000,433.9657
1689272580000,439.6157
1689291720000,443.1693
1689311160000,446.8152
1689350760000,449.0392
1689358740000,445.4029
1690896960000,446.8999
1691424000000,444.3743
1691513400000,445.7505
1691518500000,446.4548
1691878320000,447.962
1692126420000,444.0541
1692126540000,440.1378
1692283260000,436.2559
1693318920000,437.6942
1693319160000,439.1344
1693319580000,440.5734
1693405620000,436.7707
1693491420000,434.2533
1693501200000,430.453
1693796940000,431.8455
1694045940000,433.3143
1694308020000,430.7986
