timestamp_ms,equity
1675191600000,200.0
1675302600000,202.0332
1676457060000,202.6277
1677609480000,203.2262
1678145940000,204.4284
1678199820000,205.0306
1678291080000,205.6279
1678718940000,206.8647
1680442920000,207.4909
1681390980000,208.1209
1681432560000,208.7479
1682598600000,210.025
1682708820000,210.6641
1682900700000,211.3006
1683165660000,212.6068
1683250320000,213.2612
1683303600000,213.9169
1686646020000,215.2585
1686982560000,216.6227
1687291260000,217.3138
1687323420000,218.6962
1691424000000,216.1706
1691513400000,217.5468
1691518500000,218.2511
1693491420000,215.7337
1694308020000,213.218
1694427660000,210.7617
1695091200000,212.0655
1695601320000,209.7563
1696271940000,207.4396
1696399980000,208.0694
1697431620000,208.704
1697462880000,209.3355
1697749620000,211.5851
1697790420000,212.2267
1699512660000,212.8883
1701678420000,213.5548
1704040740000,214.2256
1704153600000,214.9246
1704178800000,215.6669
1704738900000,218.0529
1704821580000,219.29
1704879180000,220.6904
1706879220000,221.4077
1707350520000,222.8519
1707359700000,223.5656
1707619140000,224.3026
1709619000000,225.7852
1710371100000,226.5346
1710445380000,223.8354
1710774840000,221.1365
1711644480000,221.8569
1712365200000,223.3246
1712376000000,224.7609
1712443860000,225.4837
1714955280000,226.2324
1715776260000,226.9808
1715789640000,227.735
1716468960000,225.0269
1717512660000,225.7727
1717565340000,227.263
1718673780000,224.5328
1720517460000,225.2763
1721753040000,222.6066
1721797620000,219.9242
1722526080000,217.2377
1723613460000,217.9328
1724320500000,219.3924
1726036980000,220.1011
1727137920000,220.8151
1727174760000,221.5292
1727611260000,222.2386
1727795040000,219.6489
1729026060000,217.1021
1729188360000,214.5539
1729738200000,215.2648
1729898640000,212.8201
1730160000000,215.2356
1730168220000,217.558
1731231780000,218.2551
1734860520000,219.6551
1736215200000,220.6949
1736755980000,218.1262
1737296580000,218.849
1737307020000,220.2192
1737321960000,221.5099
1739200740000,222.2649
1740143820000,223.7194
1740934920000,225.0534
1741053960000,222.372
1742288940000,223.1008
1742461860000,224.5643
1742804880000,226.0509
1743515280000,226.8042
1744535340000,228.4447
1745883720000,229.2074
1745964000000,229.9028
1746011460000,231.4603
1747336380000,232.2494
1747579860000,233.0422
1749749760000,233.8417
1750436520000,230.9607
1751032980000,231.7456
1751126580000,232.5305
1752415200000,233.5163
1754902800000,234.5566
1754928000000,235.3593
1755018120000,236.1653
1756800000000,237.4073
1756851120000,238.2265
1756930080000,239.0426
1757894760000,239.8798
1759112760000,241.5603
1759154400000,243.1088
1759336980000,243.9645
1759642080000,245.705
1759719060000,246.5664
1762808760000,243.407
1763954400000,244.275
1764549120000,241.1361
1765209600000,242.017
1765213980000,242.8687
1765296000000,243.7064
1766310840000,244.5762
1766416020000,245.4457
1766873460000,246.3255
1766979300000,247.2051
1767199320000,244.044
1768404420000,244.9159
1768591980000,245.7937
1770317100000,242.6267
1771654560000,243.4897
1772634660000,245.2262
1772679600000,246.2059
1774470300000,247.0922
1774857060000,248.8771
1775016060000,250.6824
1775444760000,253.8817
1775467080000,255.7093
1775848320000,256.6526
1776557324132,256.6526
